iter	Passed	Remaining
0	11	2287
1	21	2111
2	31	2049
3	42	2066
4	51	2006
5	61	1973
6	70	1947
7	80	1942
8	91	1943
9	101	1921
10	111	1913
11	121	1898
12	130	1883
13	140	1864
14	150	1862
15	161	1851
16	170	1839
17	180	1825
18	190	1812
19	200	1805
20	210	1792
21	219	1775
22	229	1765
23	239	1757
24	249	1745
25	258	1728
26	266	1704
27	274	1686
28	283	1671
29	291	1649
30	298	1627
31	306	1606
32	313	1588
33	321	1568
34	328	1547
35	335	1527
36	342	1508
37	349	1490
38	356	1469
39	362	1449
40	369	1431
41	376	1414
42	382	1398
43	389	1380
44	395	1363
45	401	1345
46	408	1330
47	415	1315
48	421	1300
49	428	1285
50	434	1270
51	441	1256
52	448	1243
53	454	1229
54	461	1216
55	467	1203
56	474	1191
57	481	1178
58	488	1166
59	495	1155
60	501	1143
61	508	1131
62	515	1120
63	522	1109
64	528	1098
65	535	1087
66	542	1077
67	549	1067
68	556	1055
69	562	1044
70	569	1034
71	576	1024
72	582	1013
73	588	1002
74	595	992
75	602	982
76	608	972
77	615	963
78	622	952
79	628	943
80	635	934
81	642	924
82	649	915
83	655	905
84	661	895
85	668	885
86	675	876
87	681	867
88	688	858
89	694	848
90	700	839
91	707	830
92	714	821
93	720	812
94	727	803
95	733	794
96	740	786
97	747	777
98	753	768
99	759	759
100	766	751
101	773	743
102	779	734
103	786	725
104	792	716
105	798	708
106	805	700
107	812	691
108	818	683
109	825	675
110	831	666
111	838	659
112	845	650
113	851	642
114	857	634
115	864	626
116	871	618
117	878	610
118	884	601
119	890	593
120	896	585
121	903	577
122	910	569
123	916	561
124	922	553
125	929	545
126	936	538
127	942	530
128	949	522
129	955	514
130	962	506
131	968	498
132	975	491
133	981	483
134	988	475
135	994	468
136	1000	460
137	1007	452
138	1013	444
139	1020	437
140	1026	429
141	1032	421
142	1039	414
143	1045	406
144	1052	399
145	1058	391
146	1065	384
147	1072	376
148	1078	369
149	1085	361
150	1091	354
151	1098	346
152	1105	339
153	1111	332
154	1118	324
155	1125	317
156	1131	309
157	1138	302
158	1144	295
159	1151	287
160	1157	280
161	1163	272
162	1170	265
163	1176	258
164	1182	250
165	1189	243
166	1195	236
167	1202	229
168	1209	221
169	1215	214
170	1222	207
171	1228	199
172	1235	192
173	1241	185
174	1248	178
175	1254	171
176	1260	163
177	1266	156
178	1273	149
179	1279	142
180	1285	134
181	1291	127
182	1297	120
183	1304	113
184	1310	106
185	1316	99
186	1322	91
187	1328	84
188	1335	77
189	1341	70
190	1347	63
191	1354	56
192	1360	49
193	1366	42
194	1373	35
195	1379	28
196	1385	21
197	1392	14
198	1398	7
199	1405	0
