ws_100_t-1_dwd_1,ws_100_t-1_dwd_max,ws_100_t-1_dwd_min,ws_100_t_dwd_1,ws_100_t_dwd_max,ws_100_t_dwd_min,ws_100_t+1_dwd_1,ws_100_t+1_dwd_max,ws_100_t+1_dwd_min,rad_t-1_dwd,rad_t-1_dwd_max,rad_t-1_dwd_min,rad_t_dwd,rad_t_dwd_max,rad_t_dwd_min,rad_t+1_dwd,rad_t+1_dwd_max,rad_t+1_dwd_min,cloudcov_t-1_dwd,cloudcov_t-1_dwd_max,cloudcov_t-1_dwd_min,cloudcov_t_dwd,cloudcov_t_dwd_max,cloudcov_t_dwd_min,cloudcov_t+1_dwd,cloudcov_t+1_dwd_max,cloudcov_t+1_dwd_min,ref_datetime,valid_datetime,hours
15.78597252,16.38885021,14.75641108,15.89278592,16.48332787,14.92470932,15.78317894,16.71374607,14.48103857,0.00375,0.235,-0.285,2.78E-18,0.16,-0.31,-0.004,0.145,-0.26,0.8225,1,0.305,0.865,1,0.48,0.8885,1,0.6,2024-05-11 06:00:00+00:00,2024-05-12 23:00:00+00:00,23
15.89278592,16.48332787,14.92470932,15.78317894,16.71374607,14.48103857,15.67357196,16.94416428,14.03736782,2.78E-18,0.16,-0.31,-0.004,0.145,-0.26,-0.008,0.13,-0.21,0.865,1,0.48,0.8885,1,0.6,0.912,1,0.72,2024-05-11 06:00:00+00:00,2024-05-12 23:30:00+00:00,23
15.78317894,16.71374607,14.48103857,15.67357196,16.94416428,14.03736782,14.30317514,15.69639397,12.56356573,-0.004,0.145,-0.26,-0.008,0.13,-0.21,0.0055,0.185,-0.185,0.8885,1,0.6,0.912,1,0.72,0.938,1,0.74,2024-05-11 06:00:00+00:00,2024-05-13 00:00:00+00:00,0
15.67357196,16.94416428,14.03736782,14.30317514,15.69639397,12.56356573,12.93277833,14.44862366,11.08976364,-0.008,0.13,-0.21,0.0055,0.185,-0.185,0.019,0.24,-0.16,0.912,1,0.72,0.938,1,0.74,0.964,1,0.76,2024-05-11 06:00:00+00:00,2024-05-13 00:30:00+00:00,0
14.30317514,15.69639397,12.56356573,12.93277833,14.44862366,11.08976364,12.31861981,13.74745226,10.55293655,0.0055,0.185,-0.185,0.019,0.24,-0.16,0.02275,0.22,-0.22,0.938,1,0.74,0.964,1,0.76,0.981,1,0.87,2024-05-11 06:00:00+00:00,2024-05-13 01:00:00+00:00,1
12.93277833,14.44862366,11.08976364,12.31861981,13.74745226,10.55293655,11.70446128,13.04628086,10.01610947,0.019,0.24,-0.16,0.02275,0.22,-0.22,0.0265,0.2,-0.28,0.964,1,0.76,0.981,1,0.87,0.998,1,0.98,2024-05-11 06:00:00+00:00,2024-05-13 01:30:00+00:00,1
12.31861981,13.74745226,10.55293655,11.70446128,13.04628086,10.01610947,11.20154789,12.68301392,9.677524567,0.02275,0.22,-0.22,0.0265,0.2,-0.28,-0.00175,0.185,-0.27,0.981,1,0.87,0.998,1,0.98,0.99875,1,0.985,2024-05-11 06:00:00+00:00,2024-05-13 02:00:00+00:00,2
11.70446128,13.04628086,10.01610947,11.20154789,12.68301392,9.677524567,10.69863449,12.31974697,9.338939667,0.0265,0.2,-0.28,-0.00175,0.185,-0.27,-0.03,0.17,-0.26,0.998,1,0.98,0.99875,1,0.985,0.9995,1,0.99,2024-05-11 06:00:00+00:00,2024-05-13 02:30:00+00:00,2
11.20154789,12.68301392,9.677524567,10.69863449,12.31974697,9.338939667,10.24089955,11.79658031,8.874188423,-0.00175,0.185,-0.27,-0.03,0.17,-0.26,5.3025,8.1,3.505,0.99875,1,0.985,0.9995,1,0.99,0.99525,1,0.96,2024-05-11 06:00:00+00:00,2024-05-13 03:00:00+00:00,3
10.69863449,12.31974697,9.338939667,10.24089955,11.79658031,8.874188423,9.783164607,11.27341366,8.40943718,-0.03,0.17,-0.26,5.3025,8.1,3.505,10.635,16.03,7.27,0.9995,1,0.99,0.99525,1,0.96,0.991,1,0.93,2024-05-11 06:00:00+00:00,2024-05-13 03:30:00+00:00,3
10.24089955,11.79658031,8.874188423,9.783164607,11.27341366,8.40943718,9.439947075,10.75462055,8.233513832,5.3025,8.1,3.505,10.635,16.03,7.27,32.2035,49.8,21.385,0.99525,1,0.96,0.991,1,0.93,0.97025,1,0.85,2024-05-11 06:00:00+00:00,2024-05-13 04:00:00+00:00,4
9.783164607,11.27341366,8.40943718,9.439947075,10.75462055,8.233513832,9.096729543,10.23582745,8.057590485,10.635,16.03,7.27,32.2035,49.8,21.385,53.772,83.57,35.5,0.991,1,0.93,0.97025,1,0.85,0.9495,1,0.77,2024-05-11 06:00:00+00:00,2024-05-13 04:30:00+00:00,4
9.439947075,10.75462055,8.233513832,9.096729543,10.23582745,8.057590485,7.714445101,8.531277657,7.049200296,32.2035,49.8,21.385,53.772,83.57,35.5,81.1565,125.45,53.75,0.97025,1,0.85,0.9495,1,0.77,0.9425,1,0.795,2024-05-11 06:00:00+00:00,2024-05-13 05:00:00+00:00,5
9.096729543,10.23582745,8.057590485,7.714445101,8.531277657,7.049200296,6.332160658,6.826727867,6.040810108,53.772,83.57,35.5,81.1565,125.45,53.75,108.541,167.33,72,0.9495,1,0.77,0.9425,1,0.795,0.9355,1,0.82,2024-05-11 06:00:00+00:00,2024-05-13 05:30:00+00:00,5
7.714445101,8.531277657,7.049200296,6.332160658,6.826727867,6.040810108,6.383271337,7.422634125,5.848324776,81.1565,125.45,53.75,108.541,167.33,72,145.547,202.84,84.575,0.9425,1,0.795,0.9355,1,0.82,0.93975,1,0.85,2024-05-11 06:00:00+00:00,2024-05-13 06:00:00+00:00,6
6.332160658,6.826727867,6.040810108,6.383271337,7.422634125,5.848324776,6.434382015,8.018540382,5.655839443,108.541,167.33,72,145.547,202.84,84.575,182.553,238.35,97.15,0.9355,1,0.82,0.93975,1,0.85,0.944,1,0.88,2024-05-11 06:00:00+00:00,2024-05-13 06:30:00+00:00,6
6.383271337,7.422634125,5.848324776,6.434382015,8.018540382,5.655839443,6.84442891,8.219499588,6.050800323,145.547,202.84,84.575,182.553,238.35,97.15,247.892,301.895,176.81,0.93975,1,0.85,0.944,1,0.88,0.9155,0.99,0.835,2024-05-11 06:00:00+00:00,2024-05-13 07:00:00+00:00,7
