name,2024-02-20
༼ つ ◕_◕ ༽つ,671623.6244120689
PI9,661687.29367724
Rnt,659628.5126190081
BridgeForCast,646546.4986626453
SVK,646177.5339908531
sukantabasu,644667.1721615652
Eguzkinet,644049.6396399215
ProbProfit,643900.6231797567
LSEG Power Team,643007.454973012
Oracle,639109.3308333695
UI BUD,637781.9797000049
HyForecast,636757.7134344833
EnergiWise,631552.0281996498
GM Team Mannheim,629794.2939540992
Njord,629562.4854958898
TáSol,628630.1504272243
gsp23,628188.3604461002
ODC,627696.7405939306
mariscos,626846.6263042022
Stochastic Parrots,623137.453251304
quantopia,621642.9740801149
NICE_Forecast,619920.6253072866
justForFun,618877.7733733155
GEB,618471.7365004797
Team Auckland,617769.4719302977
CUFE,617245.7451827755
cld,616657.3549920527
KittenKilowatt,612676.4108117677
NAECO Blue GmbH,611876.4164635483
DDDelft,611164.7438753019
CRL,605679.1444180482
HelloWorld,603915.6884315414
OLPZR,603485.4650866559
Matrix,599551.3007273393
ReWind,596002.1331603533
The Onliners,594795.054336979
Aphelion,594138.3243679195
mizu,589114.6571933709
SiaPartners_Team,576067.701161478
FCOR_BL,576036.2049838644
Wu Forecast,575873.2053288401
ForMare,566150.1917558642
CuriousEngineer,546852.8283455443
forecaaaaast,539428.4489525345
6340,539023.4815190588
Intelligent Electrical Power Traders,517000.60971001216
Glassbowl-Prediction,508967.80655814
RUPowered,476377.5633698669
Benchmark,466751.0103224076
aisopb,466025.14070081944
vishleshak,466025.1406893932
Auror,455423.21352753707
Energon Unlimited,447448.9107016481
Ihubex,446671.7158657538
KIT-IAI,433280.64662744454
RE-Cast,407369.6452747922
MiaoMiaoJiao,395451.5806119393
power_rabbit,274448.96986790776
